ideology_family,description,accepted_subtypes,aliases,analysis_guidance
Anarchism,Anti-authoritarian political traditions that reject coercive hierarchy and centralized domination.,Anarcho-communism; anarcho-syndicalism; mutualism; anarcho-capitalism; libertarian socialism,anarchist; anarchism; anarcho,Use for profiles where anti-authoritarianism and opposition to centralized power are structurally defining.
Anti-colonialism,"Movements and traditions centered on national liberation, anti-imperialism, and political emancipation from colonial rule.",Anti-apartheid democracy; liberation nationalism; pan-Africanism; anti-imperial socialism; decolonial republicanism,anti-colonial; anticolonial; anti-imperial; decolonial,Use when anti-imperial or national-liberation politics are more central than a standard left/right label.
Arab nationalism,"Political traditions focused on Arab unity, sovereignty, anti-imperial positioning, and regional national identity.",Baathism; Nasserism; Arab socialism; pan-Arabism,baath; baathism; nasserism; pan-arab,"Use for Arab unity or Arab sovereignty projects, including socialist and authoritarian variants."
Authoritarianism,"Traditions and regimes emphasizing centralized authority, coercive order, hierarchy, and limited political pluralism.",Military authoritarianism; personalist rule; bureaucratic authoritarianism; authoritarian nationalism,authoritarian; dictatorship; autocracy; strongman,Use when regime form and coercive authority are more defining than a narrower ideological family.
Centrism,"Moderate or synthesis-oriented positioning combining reformism, institutionalism, and mixed economic preferences.",Liberal centrism; radical centrism; technocratic centrism; third way,centrist; centrism; third way; moderate,"Use for profiles whose defining feature is synthesis, institutional moderation, or avoidance of strong ideological polarity."
Communism,"Anti-capitalist traditions centered on class struggle, collective ownership, and the abolition or transcendence of capitalism.",Marxism; Leninism; Maoism; Stalinism; Trotskyism; council communism,communist; communism; marxism; leninism; maoism; stalinism; trotskyism,Use when collective ownership and anti-capitalism are structurally central rather than merely redistributive.
Conservatism,"Traditions emphasizing continuity, social order, inherited institutions, authority, and cultural or moral stability.",Liberal conservatism; national conservatism; traditionalism; Christian democracy; Gaullism,conservative; conservatism; traditionalist; gaullist,"Use when preservation, continuity, order, or traditional institutions are defining traits."
Critical theory,Controlled taxonomy family for Critical theory.,Critical theory,critical theory,Use when Critical theory is the clearest broad family for the profile.
Ecologism,"Political traditions prioritizing ecological limits, sustainability, environmental protection, and critique of unrestricted productivism.",Green politics; eco-socialism; degrowth; conservative environmentalism; eco-liberalism,green; ecologist; ecology; environmentalism; degrowth,Use when ecological constraint is a primary organizing principle rather than a secondary policy area.
Fascism,"Ultra-nationalist, authoritarian, anti-liberal and anti-communist traditions often centered on hierarchy, mythic unity, and political violence.",Fascism; Nazism; clerical fascism; neo-fascism,fascist; fascism; nazi; nazism; national socialism,"Use carefully for historically or analytically fascist profiles, not as a generic insult for authoritarianism."
Feminism,"Traditions centered on gender equality, political representation, and critique of patriarchal structures.",Liberal feminism; socialist feminism; radical feminism; intersectional feminism,feminist; feminism; gender equality,Use when gender equality and feminist analysis are central to the profile's political identity.
Liberalism,"Traditions emphasizing individual rights, constitutional government, pluralism, civil liberties, markets, and legal equality.",Classical liberalism; social liberalism; neoliberalism; liberal internationalism,liberal; liberalism; neoliberal; classical liberal,"Use for rights-based, constitutional, pluralist, or market-oriented liberal traditions."
Libertarianism,"Traditions emphasizing individual autonomy, voluntary exchange, and skepticism toward state intervention.",Right-libertarianism; left-libertarianism; objectivism; minarchism; anarcho-capitalism,libertarian; libertarianism; objectivism; minarchism,Use when individual autonomy and anti-statism are stronger markers than generic liberalism or conservatism.
Military leadership,Controlled taxonomy family for Military leadership.,Military leadership,military leadership,Use when Military leadership is the clearest broad family for the profile.
Monarchism,"Traditions defending hereditary monarchy, dynastic legitimacy, or monarchical constitutional order.",Absolute monarchism; constitutional monarchism; traditional monarchism; royalism,monarchist; monarchism; royalism; royalist,Use for figures whose legitimacy or institutional project is explicitly monarchical.
Nationalism,"Traditions emphasizing sovereignty, nationhood, collective identity, national priority, and political self-determination.",Civic nationalism; ethnic nationalism; national populism; sovereigntism; revolutionary nationalism,nationalist; nationalism; sovereigntist; sovereignist,"Use when national sovereignty, identity, and priority are central organizing principles."
Other,Controlled taxonomy family for Other.,Other,other,Use when Other is the clearest broad family for the profile.
Political realism,Controlled taxonomy family for Political realism.,Political realism,political realism,Use when Political realism is the clearest broad family for the profile.
Political religion,"Traditions where political order, law, or legitimacy is strongly shaped by religious doctrine, institutions, or identity.",Political Islam; Christian democracy; theocracy; religious conservatism,islamism; political islam; christian democracy; theocracy; religious politics,Use when religious doctrine or religious identity is a central basis of politics.
Populism,"Political logic opposing a claimed people against elites, establishments, or corrupt institutions.",Left populism; right populism; national populism; agrarian populism,populist; populism; anti-elite,"Use when the people-versus-elite structure is defining, whether left, right, or syncretic."
Progressivism,Controlled taxonomy family for Progressivism.,Progressivism,progressivism,Use when Progressivism is the clearest broad family for the profile.
Republicanism,"Traditions emphasizing citizenship, civic virtue, constitutional order, public liberty, and opposition to arbitrary rule.",Civic republicanism; revolutionary republicanism; classical republicanism,republican; republicanism; civic republican,"Use for profiles centered on citizenship, public liberty, constitutionalism, and anti-monarchical or anti-arbitrary rule."
